<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,12:12:00,114118,114856,108065,109121,7
01.09.2020,12:13:00,112080,115274,108063,110845,74
01.09.2020,12:14:00,111113,115157,108015,108533,59
01.09.2020,12:15:00,109952,115182,108015,109141,31
01.09.2020,12:16:00,111333,115289,108011,109975,21
01.09.2020,12:17:00,112604,115149,107938,113474,7
01.09.2020,12:18:00,112559,115154,107921,109224,26
01.09.2020,12:19:00,114748,115150,107900,112532,57
01.09.2020,12:20:00,113712,115251,108061,110625,83
01.09.2020,12:21:00,107935,115004,107935,110898,35
01.09.2020,12:22:00,115207,115251,108005,108278,66
01.09.2020,12:23:00,110705,115232,107907,110420,56
01.09.2020,12:24:00,111869,115292,108031,114222,79
01.09.2020,12:25:00,112063,115170,107935,111779,70
01.09.2020,12:26:00,109377,115183,107917,111531,88
01.09.2020,12:27:00,113759,115199,107961,110842,93
01.09.2020,12:28:00,108150,115262,108150,109848,40
01.09.2020,12:29:00,113626,115295,108013,108212,97
01.09.2020,12:30:00,111647,115049,108614,108614,21
01.09.2020,12:31:00,108362,115244,107953,109680,95
01.09.2020,12:32:00,108773,115225,108163,113876,11
01.09.2020,12:33:00,109418,115163,107916,113536,26
01.09.2020,12:34:00,113031,115195,108042,108491,69
01.09.2020,12:35:00,108322,115267,107935,109401,59
01.09.2020,12:36:00,109137,114567,108055,110524,37
01.09.2020,12:37:00,108550,114566,107992,109836,84
01.09.2020,12:38:00,113369,115279,108155,108498,30
01.09.2020,12:39:00,114124,115186,107944,112343,25
01.09.2020,12:40:00,111263,115242,108035,114585,57
01.09.2020,12:41:00,115087,115212,108091,111377,55
01.09.2020,12:42:00,108692,115064,108201,114729,18
01.09.2020,12:43:00,114801,115088,107952,110071,92
01.09.2020,12:44:00,111707,115282,108022,114129,16
01.09.2020,12:45:00,108048,115144,107911,108597,77
01.09.2020,12:46:00,112932,115209,108157,108157,66
01.09.2020,12:47:00,109980,115248,107923,108228,43
01.09.2020,12:48:00,109232,115189,107910,109340,44
01.09.2020,12:49:00,109840,115077,107965,114784,49
01.09.2020,12:50:00,110883,115060,107916,107968,21
01.09.2020,12:52:00,113611,115097,108137,115073,88
01.09.2020,12:53:00,112998,115244,107997,112811,29
01.09.2020,12:54:00,113095,115028,108117,115028,72
01.09.2020,12:55:00,109093,115273,108161,111839,88
01.09.2020,12:56:00,114300,114935,107906,107906,2
01.09.2020,12:57:00,113767,115257,107925,111133,27
01.09.2020,12:58:00,108296,114955,107947,112786,12
01.09.2020,12:59:00,111500,115069,107912,112768,9
01.09.2020,13:00:00,111225,115209,108255,114257,97
01.09.2020,13:01:00,115257,115257,108246,108923,13
01.09.2020,13:02:00,111828,114935,107998,110117,36
01.09.2020,13:03:00,108880,115283,107915,109212,64
01.09.2020,13:04:00,108825,115289,107923,112591,31
01.09.2020,13:05:00,113488,115228,108067,111632,46
01.09.2020,13:06:00,113612,115195,108114,109477,5
01.09.2020,13:07:00,110560,115156,107929,113287,91
01.09.2020,13:08:00,110808,115245,107930,109604,3
01.09.2020,13:09:00,109404,115290,108107,108755,42
01.09.2020,13:10:00,109831,115283,108121,112516,36
01.09.2020,13:11:00,113729,114747,107951,111148,29
01.09.2020,13:12:00,114147,115237,108027,115237,15
01.09.2020,13:13:00,110419,115086,107903,109945,57
01.09.2020,13:14:00,108710,115213,108130,108686,27
01.09.2020,13:15:00,113493,115293,108085,113356,68
01.09.2020,13:16:00,113617,115243,107902,108311,54
01.09.2020,13:17:00,109257,115200,108102,112368,12
01.09.2020,13:18:00,109106,115291,107965,112150,78
01.09.2020,13:19:00,115098,115098,108102,114211,5
01.09.2020,13:20:00,113745,115229,107959,108647,49
01.09.2020,13:21:00,114201,115064,107925,110616,80
01.09.2020,13:22:00,111661,115178,108198,109149,36
01.09.2020,13:23:00,108314,115198,108053,111108,77
01.09.2020,13:24:00,113514,114961,108013,110314,55
01.09.2020,13:25:00,108777,115069,108320,112916,19
01.09.2020,13:26:00,111743,115289,108112,114655,44
01.09.2020,13:27:00,107999,115056,107999,114322,15
01.09.2020,13:28:00,109139,115173,108038,110050,59
01.09.2020,13:29:00,114844,115172,108070,112738,77
01.09.2020,13:30:00,112698,115267,107902,109069,7
01.09.2020,13:31:00,108990,115263,108072,109061,31
01.09.2020,13:32:00,108485,115159,108262,114381,38
01.09.2020,13:33:00,110028,115277,107957,110791,43
01.09.2020,13:34:00,111886,115207,108050,114391,55
01.09.2020,13:35:00,110482,115038,107999,112894,71
01.09.2020,13:36:00,114517,115211,108191,111106,81
01.09.2020,13:37:00,109380,115220,107920,111508,3
01.09.2020,13:38:00,113002,115238,107978,112344,84
01.09.2020,13:39:00,112360,115299,108021,110079,37
01.09.2020,13:40:00,114323,114977,108028,111051,66
01.09.2020,13:41:00,108358,115234,108030,109003,71
01.09.2020,13:42:00,112189,115149,108119,109981,13
01.09.2020,13:43:00,115137,115137,107940,110142,27
01.09.2020,13:44:00,112801,115245,108076,113711,67
01.09.2020,13:45:00,112352,115198,107995,110557,76
01.09.2020,13:46:00,110128,115170,107994,112856,50
01.09.2020,13:47:00,109068,115259,107999,109854,3
01.09.2020,13:48:00,110457,115239,107941,113859,38
01.09.2020,13:49:00,114781,115279,108046,108698,61
01.09.2020,13:50:00,112014,115285,108411,110577,97
01.09.2020,13:51:00,109525,115145,107928,112947,57
01.09.2020,13:52:00,112793,115261,108058,114400,9
01.09.2020,13:53:00,111882,115290,108051,113188,59
01.09.2020,13:54:00,108871,115297,108107,112930,59
01.09.2020,13:55:00,113696,115185,107950,109515,90
01.09.2020,13:56:00,111621,115126,108326,111628,13
01.09.2020,13:57:00,114677,115128,108007,111960,56
01.09.2020,13:58:00,108723,115289,107997,113469,78
01.09.2020,13:59:00,111729,115147,108180,112607,21
01.09.2020,14:00:00,111459,115238,108014,112354,37
01.09.2020,14:01:00,109362,115242,108153,109557,65
01.09.2020,14:02:00,110784,114861,108100,113101,19
01.09.2020,14:03:00,114893,115110,108042,109616,45
01.09.2020,14:04:00,110821,115248,107965,108106,44
01.09.2020,14:05:00,108799,115097,108010,115097,16
01.09.2020,14:06:00,111906,115224,108110,113944,74
01.09.2020,14:07:00,107947,115296,107909,110039,50
01.09.2020,14:08:00,108910,115287,108124,113479,9
01.09.2020,14:09:00,109376,115283,108749,112514,45
01.09.2020,14:10:00,114307,115245,107926,114728,72
01.09.2020,14:11:00,113019,115080,108097,113021,64
01.09.2020,14:12:00,113005,115215,108045,115004,63
01.09.2020,14:13:00,110813,115293,107951,110142,23
01.09.2020,14:14:00,110318,115287,108266,109267,25
01.09.2020,14:15:00,114655,114980,107935,112400,3
01.09.2020,14:16:00,115126,115235,108047,109361,16
01.09.2020,14:17:00,110662,115287,107960,107960,26
01.09.2020,14:18:00,114176,115053,107960,112694,28
01.09.2020,14:19:00,115047,115132,107915,113510,24
01.09.2020,14:20:00,114112,115200,107980,108677,80
01.09.2020,14:21:00,113267,115283,107944,111206,50
01.09.2020,14:22:00,108954,115159,107991,109902,6
01.09.2020,14:23:00,111769,115255,107944,115165,37
01.09.2020,14:24:00,113956,115253,108172,113059,33
01.09.2020,14:25:00,109976,115298,108270,113488,48
01.09.2020,14:26:00,110194,115184,108221,111007,60
01.09.2020,14:27:00,110063,115246,107934,111904,73
01.09.2020,14:28:00,110163,115284,108322,114349,49
01.09.2020,14:29:00,111658,115077,108015,113890,91
01.09.2020,14:30:00,111647,115240,107905,114298,87
01.09.2020,14:31:00,111102,115246,107926,111697,81
01.09.2020,14:32:00,109687,115176,108058,108535,83
01.09.2020,14:33:00,110965,115248,107950,108539,59
01.09.2020,14:34:00,108088,115112,107902,115112,1
01.09.2020,14:35:00,109794,115265,108040,108423,61
01.09.2020,14:36:00,109138,115195,108153,108996,63
01.09.2020,14:37:00,112481,115121,107937,111414,77
01.09.2020,14:38:00,110630,115125,107912,112051,97
01.09.2020,14:39:00,110175,115177,107905,114275,83
01.09.2020,14:40:00,110920,115275,108387,110904,82
01.09.2020,14:41:00,109211,115208,108000,109136,79
01.09.2020,14:42:00,114971,114995,107949,114198,57
01.09.2020,14:43:00,115087,115260,107930,112713,15
01.09.2020,14:44:00,108025,114967,107969,108629,66
01.09.2020,14:45:00,113490,115299,107938,109241,21
01.09.2020,14:46:00,111599,115201,108211,112422,7
01.09.2020,14:47:00,108223,115279,108185,114465,61
01.09.2020,14:48:00,107940,115196,107940,113261,54
01.09.2020,14:49:00,111264,115271,107975,112849,19
01.09.2020,14:50:00,114072,115299,107930,113539,7
01.09.2020,14:51:00,113419,114940,108093,110899,53
01.09.2020,14:52:00,109303,114860,108148,110619,91
01.09.2020,14:53:00,111815,115274,107956,114545,37
01.09.2020,14:54:00,111257,115239,108029,108107,32
01.09.2020,14:55:00,110561,115252,108063,111795,77
01.09.2020,14:56:00,112386,115107,108012,108771,90
01.09.2020,14:57:00,110251,115250,107960,109929,22
01.09.2020,14:58:00,108291,115086,107938,114895,60
01.09.2020,14:59:00,112402,114862,107931,108411,26
01.09.2020,15:00:00,113855,115294,108150,112685,27
01.09.2020,15:01:00,108725,115225,107988,111443,66
01.09.2020,15:02:00,112494,115134,108103,109097,74
01.09.2020,15:03:00,113442,115064,107901,110709,64
01.09.2020,15:04:00,110924,115085,107991,113915,46
01.09.2020,15:05:00,110573,115224,107905,114901,90
01.09.2020,15:06:00,114850,115108,108005,109020,28
01.09.2020,15:07:00,109587,115256,108126,108574,57
01.09.2020,15:08:00,115005,115267,108202,114689,72
01.09.2020,15:09:00,112771,115235,107906,109516,61
01.09.2020,15:10:00,110100,114973,107928,111257,69
01.09.2020,15:11:00,107925,115154,107925,113242,55
01.09.2020,15:12:00,108808,115178,108130,112460,59
01.09.2020,15:13:00,111595,115225,107928,110151,33
01.09.2020,15:14:00,114056,114867,108052,109486,60
01.09.2020,15:15:00,112482,115163,107958,112716,61
01.09.2020,15:16:00,109258,115217,108183,113530,79
01.09.2020,15:17:00,113697,115242,107914,110042,12
01.09.2020,15:18:00,114272,115262,108054,115031,70
01.09.2020,15:19:00,110874,115198,108007,114319,84
01.09.2020,15:20:00,113068,114976,107986,114383,77
01.09.2020,15:21:00,112227,115181,107900,109990,93
01.09.2020,15:22:00,114504,115255,108537,111225,55
01.09.2020,15:23:00,115010,115010,107920,109756,41
01.09.2020,15:24:00,109295,115155,107999,111951,63
01.09.2020,15:25:00,110565,115291,107911,111228,94
01.09.2020,15:26:00,107973,115167,107973,110505,33
01.09.2020,15:27:00,110213,115283,108035,113405,36
01.09.2020,15:28:00,111603,115243,108009,110843,50
01.09.2020,15:29:00,114139,115190,108423,108475,40
01.09.2020,15:30:00,114215,115209,108116,108995,74
01.09.2020,15:31:00,111276,115260,108230,110059,70
01.09.2020,15:32:00,110196,115290,108254,114800,64
01.09.2020,15:33:00,115128,115277,108043,109610,82
01.09.2020,15:34:00,109143,115293,108182,111388,77
01.09.2020,15:35:00,114014,115263,107961,110406,31
01.09.2020,15:36:00,110918,115280,107920,111196,70
01.09.2020,15:37:00,113999,115153,107914,112193,15
01.09.2020,15:38:00,113544,115247,107937,112688,9
01.09.2020,15:39:00,114155,115283,108138,110239,4
01.09.2020,15:40:00,110415,115290,107921,110836,34
01.09.2020,15:41:00,113018,115016,107900,110638,27
01.09.2020,15:42:00,114329,115008,108031,110980,79
01.09.2020,15:43:00,112132,115189,107944,113758,33
01.09.2020,15:44:00,115180,115180,108025,111228,48
01.09.2020,15:45:00,108750,115089,108137,112036,44
01.09.2020,15:46:00,110322,115274,107920,110575,80
01.09.2020,15:47:00,111441,115151,107907,108778,43
01.09.2020,15:48:00,110374,115008,107924,114449,3
01.09.2020,15:49:00,114395,115146,108148,111664,90
01.09.2020,15:50:00,111279,115296,107941,113740,60
01.09.2020,15:51:00,113036,115297,107972,112810,90
01.09.2020,15:52:00,115143,115143,108115,113053,70
01.09.2020,15:53:00,109547,115164,108118,109085,43
01.09.2020,15:54:00,112972,115265,108000,112066,71
01.09.2020,15:55:00,108254,115166,107951,110360,77
01.09.2020,15:56:00,109969,115198,107927,110938,30
01.09.2020,15:57:00,110376,115278,108023,108978,95
01.09.2020,15:58:00,111329,115297,107951,114030,28
01.09.2020,15:59:00,110083,115033,107930,111711,53
01.09.2020,16:00:00,112330,114975,107920,112974,5
01.09.2020,16:01:00,112385,115264,107932,110778,52
01.09.2020,16:02:00,109683,114993,107918,113680,54
01.09.2020,16:03:00,111483,115271,108034,113591,14
01.09.2020,16:04:00,111786,115274,107994,112044,63
01.09.2020,16:05:00,114853,115204,108028,109317,81
01.09.2020,16:06:00,111054,114842,107973,108218,35
01.09.2020,16:07:00,114437,115121,108106,113964,86
01.09.2020,16:08:00,108698,115297,108061,114281,84
01.09.2020,16:09:00,110559,115146,107935,113169,40
01.09.2020,16:10:00,110546,115245,108003,111668,66
01.09.2020,16:11:00,111814,115210,108034,112854,1
01.09.2020,16:12:00,108457,115218,108050,112401,46
01.09.2020,16:13:00,108464,115187,108067,109020,71
01.09.2020,16:14:00,108461,115242,108179,109380,5
01.09.2020,16:15:00,113751,115236,107932,115082,77
01.09.2020,16:16:00,113874,115144,108120,112764,26
01.09.2020,16:17:00,114863,115280,107972,114083,47
01.09.2020,16:18:00,114701,115248,108030,110046,58
01.09.2020,16:19:00,110942,115267,107988,114047,2
01.09.2020,16:20:00,109772,115260,107980,111805,1
01.09.2020,16:21:00,108109,115217,107954,110097,38
01.09.2020,16:22:00,113279,115112,107964,108233,1
01.09.2020,16:23:00,110975,115286,108005,108065,27
01.09.2020,16:24:00,110603,115236,107991,111396,34
01.09.2020,16:25:00,110205,115295,108217,109973,60
01.09.2020,16:26:00,113104,115236,107925,109269,94
01.09.2020,16:27:00,111590,115256,107956,112166,5
01.09.2020,16:28:00,115061,115274,108024,110072,54
01.09.2020,16:29:00,110304,115105,107958,111074,14
01.09.2020,16:30:00,111967,115150,107981,112808,16
01.09.2020,16:31:00,114423,115298,107983,110582,51
01.09.2020,16:32:00,112713,115299,108286,110007,79
01.09.2020,16:33:00,108111,115219,108111,111935,6
01.09.2020,16:34:00,114975,115218,108014,112415,25
01.09.2020,16:35:00,114843,115267,107929,108042,21
01.09.2020,16:36:00,114751,115242,108057,114396,47
01.09.2020,16:37:00,111966,115288,107903,115091,22
01.09.2020,16:38:00,109612,114965,108106,110166,19
01.09.2020,16:39:00,108987,115223,108009,113639,24
01.09.2020,16:40:00,108803,115292,108169,108292,14
01.09.2020,16:41:00,114987,115256,107985,110632,13
01.09.2020,16:42:00,115228,115262,108170,112144,60
01.09.2020,16:43:00,115209,115212,108291,112054,75
01.09.2020,16:44:00,113776,115268,107920,110054,70
01.09.2020,16:45:00,115185,115207,107996,115207,10
01.09.2020,16:46:00,110816,115237,108152,112132,55
01.09.2020,16:47:00,114979,115171,108043,113023,60
01.09.2020,16:48:00,108198,115276,107911,114767,30
01.09.2020,16:49:00,113535,115281,108063,109681,3
01.09.2020,16:50:00,115195,115249,108085,112773,10
01.09.2020,16:51:00,111176,115231,107949,112550,71
01.09.2020,16:52:00,112713,115286,107939,107939,24
01.09.2020,16:53:00,109653,115266,108034,113041,72
01.09.2020,16:54:00,112168,115185,107965,112494,74
01.09.2020,16:55:00,113123,115226,107906,113859,83
01.09.2020,16:56:00,110659,115108,108308,108889,40
01.09.2020,16:57:00,112086,115260,107906,109785,12
01.09.2020,16:58:00,112302,115133,107972,113828,52
01.09.2020,16:59:00,110771,115217,107969,109760,47
01.09.2020,17:00:00,109721,115240,108190,111684,83
01.09.2020,17:01:00,111587,115183,107909,112636,53
01.09.2020,17:02:00,110740,115277,108252,115179,66
01.09.2020,17:03:00,113788,115281,108160,111501,12
01.09.2020,17:04:00,114685,115278,107934,109901,22
01.09.2020,17:05:00,114623,115147,107900,113376,22
01.09.2020,17:06:00,113262,114429,108395,108553,7
01.09.2020,17:07:00,114372,115242,108062,109571,66
01.09.2020,17:08:00,108167,115292,108066,109965,9
01.09.2020,17:09:00,109600,115294,108048,108457,5
01.09.2020,17:10:00,114107,114964,107960,111376,61
01.09.2020,17:11:00,114625,115228,107920,109564,70
01.09.2020,17:12:00,113968,115185,107986,108432,32
01.09.2020,17:13:00,111888,115279,107901,109803,57
01.09.2020,17:14:00,109252,115205,108066,114575,19
01.09.2020,17:15:00,112662,115128,108281,109672,60
01.09.2020,17:16:00,108115,115223,107924,113360,2
01.09.2020,17:17:00,110515,115282,108225,108741,65
01.09.2020,17:18:00,114268,115083,107979,111594,64
01.09.2020,17:19:00,110131,115179,107905,115179,39
01.09.2020,17:20:00,111788,115192,108136,111309,84
01.09.2020,17:21:00,114869,115191,107959,112016,41
01.09.2020,17:22:00,108737,115240,107963,109630,56
01.09.2020,17:23:00,112620,115221,107923,111579,88
01.09.2020,17:24:00,110998,115065,108158,108468,77
01.09.2020,17:25:00,108443,115123,107962,114858,59
01.09.2020,17:26:00,108932,115262,108030,112702,74
01.09.2020,17:27:00,114579,115185,107907,110014,89
01.09.2020,17:28:00,112745,115070,107995,109300,84
01.09.2020,17:29:00,108153,115161,108009,108738,5
01.09.2020,17:30:00,111620,115275,107973,113349,4
01.09.2020,17:31:00,109389,115294,108315,114506,82
01.09.2020,17:32:00,112765,114627,107940,111025,13
01.09.2020,17:33:00,107903,115189,107903,110129,37
01.09.2020,17:34:00,112220,115298,107982,110397,34
01.09.2020,17:35:00,110311,114511,108151,111264,56
01.09.2020,17:36:00,110354,115267,107927,114302,5
01.09.2020,17:37:00,110117,115272,108173,115270,81
01.09.2020,17:38:00,108159,115148,108050,114895,3
01.09.2020,17:39:00,108858,115238,107900,110387,86
01.09.2020,17:40:00,113125,115218,107905,115089,90
01.09.2020,17:41:00,110308,115179,108229,109163,47
01.09.2020,17:42:00,107949,115188,107949,112373,83
01.09.2020,17:43:00,110275,115152,107906,112012,72
01.09.2020,17:44:00,112588,115240,107992,109465,80
01.09.2020,17:45:00,108134,115036,108028,110577,24
01.09.2020,17:46:00,112444,115059,108046,108962,81
01.09.2020,17:47:00,108507,115122,108090,110272,86
01.09.2020,17:48:00,111452,115129,108179,114826,58
01.09.2020,17:49:00,111614,115090,107999,112833,81
01.09.2020,17:50:00,110575,115229,107950,115229,76
01.09.2020,17:51:00,114054,115274,107987,112830,76
01.09.2020,17:52:00,108308,114875,108068,113397,44
01.09.2020,17:53:00,111297,115160,107971,109667,28
01.09.2020,17:54:00,111348,115291,107985,110324,91
01.09.2020,17:55:00,115279,115279,108440,112358,20
01.09.2020,17:56:00,112774,114999,108121,109628,93
01.09.2020,17:57:00,114325,115156,107936,110954,85
01.09.2020,17:58:00,109005,115299,107971,112837,1
01.09.2020,17:59:00,110540,115245,108165,112674,23
01.09.2020,18:00:00,113474,115058,107904,113830,52
01.09.2020,18:01:00,109197,115131,107958,113391,91
01.09.2020,18:02:00,113316,115240,107903,114289,95
01.09.2020,18:03:00,112081,115222,107983,112393,72
01.09.2020,18:04:00,111804,115018,107969,114492,66
01.09.2020,18:05:00,110154,115237,108115,114019,35
01.09.2020,18:06:00,113626,114783,107942,112195,22
01.09.2020,18:07:00,113100,115153,108163,111388,71
01.09.2020,18:08:00,113334,115198,108211,109893,40
01.09.2020,18:09:00,110855,115279,107965,109744,25
01.09.2020,18:10:00,112928,115220,107995,111809,10
01.09.2020,18:11:00,108941,115298,108001,111191,39
01.09.2020,18:12:00,110952,115208,107958,108209,89
01.09.2020,18:13:00,108353,115173,108055,112986,17
01.09.2020,18:14:00,109237,115260,108026,111868,35
01.09.2020,18:15:00,110588,115281,108163,108582,67
01.09.2020,18:16:00,113317,115296,107930,111849,67
01.09.2020,18:17:00,113366,114984,107943,109899,35
01.09.2020,18:18:00,114252,115232,108020,110767,1
01.09.2020,18:19:00,109889,115136,108060,113416,52
01.09.2020,18:20:00,110149,115287,107908,113461,81
01.09.2020,18:21:00,111575,115019,107945,107945,11
01.09.2020,18:22:00,113230,115201,107992,109264,35
01.09.2020,18:23:00,115236,115236,107918,112263,17
01.09.2020,18:24:00,111766,114931,107923,114102,12
01.09.2020,18:25:00,111663,115282,108106,115282,52
01.09.2020,18:26:00,112815,115189,107960,114612,79
01.09.2020,18:27:00,107991,115233,107991,108909,5
01.09.2020,18:28:00,115189,115233,107969,114561,92
01.09.2020,18:29:00,108599,115278,107995,108888,17
01.09.2020,18:30:00,108280,115261,107972,111293,14
01.09.2020,18:31:00,109115,115129,108014,111574,42
01.09.2020,18:32:00,114246,115148,108146,111923,60
01.09.2020,18:33:00,114126,115182,107939,110704,36
01.09.2020,18:34:00,115229,115229,107963,107963,70
01.09.2020,18:35:00,111331,115295,107948,112888,85
01.09.2020,18:36:00,110412,115222,107909,108104,68
01.09.2020,18:37:00,111705,115286,108186,115010,12
